guest_type,total_bookings,cancellation_rate_pct,avg_adr_stayed,avg_nights_stayed,total_revenue_est,avg_special_requests,avg_lead_time_days
Repeat Guest,3498,15.69,69.43,2.04,484609.4,0.65,33.3
New Guest,115066,37.91,102.31,3.48,25502366.63,0.57,106.7
