segment,bookings,avg_adr,avg_nights,avg_revenue,total_revenue,avg_lead_time,avg_special_requests,min_revenue_threshold
Top 10% Revenue Bookings,7443,159.32,7.64,1097.06,8165449.81,112.8,0.98,711.0
Bottom 90% Revenue Bookings,66945,94.52,2.95,266.21,17821526.22,76.9,0.69,
