feature,importance
deposit_type_enc,0.20942702501455757
lead_time,0.12944707807196437
total_of_special_requests,0.10047901883133256
market_segment_enc,0.07909423243578781
room_type_match,0.07170949754871599
previous_cancellations,0.05852705620201014
required_car_parking_spaces,0.053361134884986755
customer_type_enc,0.040842891613278774
booking_changes,0.03840442926548811
adr,0.03530348570414593
assigned_room_type_enc,0.019097698088806733
distribution_channel_enc,0.017786542273177594
arrival_date_week_number,0.01644665949807292
arrival_date_year,0.0150576025858953
arrival_date_day_of_month,0.014041443282155577
total_nights,0.013949484078803167
stays_in_week_nights,0.010211803768072219
hotel_enc,0.009634358189010369
arrival_month_num,0.009506298492463674
reserved_room_type_enc,0.009307241898153516
arrival_date_month_enc,0.008706226529151144
total_guests,0.0068155202835786894
meal_enc,0.006025332322059368
stays_in_weekend_nights,0.005791874435001766
previous_bookings_not_canceled,0.0056711295298026215
adults,0.005469266613432911
days_in_waiting_list,0.0028103620394806543
is_high_season,0.0026917046872756236
children,0.002224227636206258
is_repeated_guest,0.0020817092149593946
babies,7.766498217276103e-05
